Field,Type,Count
product_id,str,407396
suffix,str,407396
product_name,str,407396
sku,str,407396
attribute_set_id,int,407396
attribute_set,str,407396
type_id,str,407396
min_price,str,407396
max_price,str,407396
gold_weight,str,407369
gold_weight,NoneType,27
none_metal_weight,int,407351
none_metal_weight,str,45
fixed_silver_weight,int,407322
fixed_silver_weight,float,74
material_design,NoneType,406964
material_design,str,432
collection,str,407396
collection_id,str,395470
collection_id,NoneType,11926
product_type,str,407396
product_type_value,str,407093
product_type_value,NoneType,303
category,str,351474
category,int,55922
category_name,str,407396
store_code,str,407396
gender,str,312919
gender,bool,94477
ringsize,list,143717
ringsize[],dict,217264
ringsize[].name,str,217264
ringsize[].title,str,217264
ringsize[].ringsize_values,list,217264
ringsize[].ringsize_values[],dict,7516603
ringsize[].ringsize_values[].value,str,7516603
ringsize[].ringsize_values[].title,str,7516603
ringsize[].ringsize_values[].diameter,str,7516603
ringsize[].ringsize_values[].size,str,7516603
ringsize[].ringsize_values[].circumference,str,7516603
ringsize[].is_default,bool,143717
ringsize[].is_default,NoneType,73547
ringsize[].average_size,dict,214466
ringsize[].average_size,NoneType,2798
ringsize[].average_size.value,str,214466
ringsize[].average_size.diameter,str,214466
stone,list,323221
stone[],dict,4511492
stone[].option_type_id,str,4511492
stone[].option_id,str,4511492
stone[].sku,str,4511492
stone[].default_title,str,4511492
stone[].store_title,str,4511492
stone[].title,str,4511492
stone[].price,str,4511492
stone[].price_type,str,4511492
stone[].is_default,bool,4511492
stone[].default_quality,str,1758448
stone[].default_quality,NoneType,2753044
stone[].configure_quality,str,4511492
stone[].stone_group,str,4511181
stone[].stone_group,bool,311
stone[].data_stones,list,4511492
stone[].data_stones[],dict,5661921
stone[].data_stones[].stone_type,dict,5661921 
stone[].data_stones[].stone_type.value,str,5661921
stone[].data_stones[].stone_type.label,str,5661921
stone[].data_stones[].stone_type.default_label,str,5661618
stone[].data_stones[].stone_type.default_label,NoneType,303
stone[].data_stones[].stone_type.option_title,str,5661921
stone[].data_stones[].stone_type.default_option_title,str,5661921
stone[].data_stones[].stone_name,dict,5661921
stone[].data_stones[].stone_name.value,NoneType,5661921
stone[].data_stones[].stone_name.label,NoneType,5661921
stone[].data_stones[].stone_name.default_label,NoneType,5661921
stone[].data_stones[].stone_name.option_title,str,5661921
stone[].data_stones[].stone_name.default_option_title,str,5661921
stone[].data_stones[].certificate,dict,5661921
stone[].data_stones[].certificate.value,str,5661921
stone[].data_stones[].certificate.label,str,5661921
stone[].data_stones[].certificate.default_label,str,5661921
stone[].data_stones[].certificate.option_title,str,5661921
stone[].data_stones[].certificate.default_option_title,str,5661921
stone[].data_stones[].carat,dict,5661921
stone[].data_stones[].carat.value,float,5468969
stone[].data_stones[].carat.value,int,192952
stone[].data_stones[].carat.label,float,5468969
stone[].data_stones[].carat.label,int,192952
stone[].data_stones[].carat.default_label,float,5468969
stone[].data_stones[].carat.default_label,int,192952
stone[].data_stones[].carat.option_title,str,5661921
stone[].data_stones[].carat.default_option_title,str,5661921
stone[].data_stones[].total_carat,dict,5661921
stone[].data_stones[].total_carat.value,float,5441151
stone[].data_stones[].total_carat.value,int,220770
stone[].data_stones[].total_carat.label,float,5441151
stone[].data_stones[].total_carat.label,int,220770
stone[].data_stones[].total_carat.default_label,float,5441151
stone[].data_stones[].total_carat.default_label,int,220770
stone[].data_stones[].total_carat.option_title,str,5661921
stone[].data_stones[].total_carat.default_option_title,str,5661921
stone[].data_stones[].diameter,dict,5661921
stone[].data_stones[].diameter.value,str,5661921
stone[].data_stones[].diameter.label,str,5661921
stone[].data_stones[].diameter.default_label,str,5661921
stone[].data_stones[].diameter.option_title,str,5661921
stone[].data_stones[].diameter.default_option_title,str,5661921
stone[].data_stones[].shape,dict,5661921
stone[].data_stones[].shape.value,str,5661921
stone[].data_stones[].shape.label,str,5661921
stone[].data_stones[].shape.default_label,str,5661921
stone[].data_stones[].shape.option_title,str,5661921
stone[].data_stones[].shape.default_option_title,str,5661921
stone[].data_stones[].quality,dict,5661921
stone[].data_stones[].quality.value,str,5661921
stone[].data_stones[].quality.label,str,5661921
stone[].data_stones[].quality.default_label,str,5661921
stone[].data_stones[].quality.option_title,str,5661921
stone[].data_stones[].quality.default_option_title,str,5661921
stone[].data_stones[].clarity,dict,5661921
stone[].data_stones[].clarity.value,str,5661921
stone[].data_stones[].clarity.label,str,5661921
stone[].data_stones[].clarity.default_label,str,5661921
stone[].data_stones[].clarity.option_title,str,5661921
stone[].data_stones[].clarity.default_option_title,str,5661921
stone[].data_stones[].cut,dict,5661921
stone[].data_stones[].cut.value,str,5661921
stone[].data_stones[].cut.label,str,5661921
stone[].data_stones[].cut.default_label,str,5661921
stone[].data_stones[].cut.option_title,str,5661921
stone[].data_stones[].cut.default_option_title,str,5661921
stone[].data_stones[].colour,dict,5661921
stone[].data_stones[].colour.value,str,5661618
stone[].data_stones[].colour.value,bool,303
stone[].data_stones[].colour.label,str,5661921
stone[].data_stones[].colour.default_label,str,5661618
stone[].data_stones[].colour.default_label,bool,303
stone[].data_stones[].colour.option_title,str,5661921
stone[].data_stones[].colour.default_option_title,str,5661921
stone[].data_stones[].origin,dict,5661921
stone[].data_stones[].origin.value,NoneType,5002486
stone[].data_stones[].origin.value,str,659435
stone[].data_stones[].origin.label,str,5661921
stone[].data_stones[].origin.default_label,NoneType,5002486
stone[].data_stones[].origin.default_label,str,659435
stone[].data_stones[].origin.option_title,str,5661921
stone[].data_stones[].origin.default_option_title,str,5661921
