country,region,number_of_doc
United Kingdom,England,211841
France,Ile-de-France,101433
Germany,Nordrhein-Westfalen,98056
Germany,Bayern,62399
Turkey,Istanbul,53215
Australia,New South Wales,44459
Chile,Region Metropolitana de Santiago,42712
Italy,Lombardia,41788
Romania,Bucuresti,37502
-,-,36767
Sweden,Stockholms Lan,34234
Germany,Baden-Wurttemberg,33900
Spain,"Madrid, Comunidad de",33603
United States,California,32456
Portugal,Lisboa,31132
Canada,Ontario,31112
Germany,Niedersachsen,31003
Germany,Hessen,30685
Viet Nam,Ha Noi,28934
Netherlands,Zuid-Holland,26998
Australia,Victoria,26603
Hungary,Budapest,24292
Spain,Catalunya,24017
Lithuania,Vilniaus Apskritis,23303
Spain,Andalucia,22106
Singapore,Singapore,21673
United Kingdom,Scotland,20827
Poland,Mazowieckie,19499
Bulgaria,Sofia (stolitsa),19435
South Africa,Gauteng,19276
Australia,Queensland,18827
Italy,Lazio,18825
United States,Texas,18735
Netherlands,Noord-Holland,18118
Peru,Lima,17952
Czech Republic,"Praha, hlavni mesto",17402
Canada,Quebec,17203
United States,Washington,16750
Belgium,Brussels Hoofdstedelijk Gewest,16358
Mexico,Distrito Federal,16007
France,Rhone-Alpes,14998
Ireland,Dublin,14670
Spain,"Valenciana, Comunidad",14462
Germany,Rheinland-Pfalz,13656
Turkey,Ankara,13543
Viet Nam,Ho Chi Minh,13489
Hungary,Pest,13445
Netherlands,Noord-Brabant,13423
Belgium,Antwerpen,13252
France,Provence-Alpes-Cote d'Azur,13177
United States,Florida,13158
Germany,Berlin,12983
United States,New York,12599
Italy,Piemonte,12191
Italy,Campania,12061
United States,New Jersey,11956
Austria,Wien,11933
Germany,Sachsen,11362
United Kingdom,Wales,11220
Italy,Veneto,11034
Romania,Ilfov,10914
Germany,Schleswig-Holstein,10905
Belgium,Vlaams-Brabant,10759
Mexico,Mexico,10517
Spain,Pais Vasco,10482
Slovakia,Bratislavsky kraj,10385
Croatia,Grad Zagreb,10362
Sweden,Vastra Gotaland,10269
Philippines,National Capital Region,10116
Finland,Uusimaa,10087
Denmark,Hovedstaden,9971
Estonia,Harjumaa,9909
Switzerland,Zurich,9866
Italy,Emilia-Romagna,9858
Sweden,Skane Lan,9594
Turkey,Izmir,9315
Norway,Oslo,9190
Belgium,Oost-Vlaanderen,9084
United States,Illinois,9011
Argentina,Ciudad Autonoma de Buenos Aires,8976
Germany,Brandenburg,8950
Australia,Western Australia,8864
Hong Kong,Hong Kong (SAR),8847
Germany,Thuringen,8789
Italy,Sicilia,8687
Poland,Slaskie,8635
